MODEL,REAllOCATED_SECTOR_COUNT_N_MOD,REPORTED_UNCORRECTABLE_ERRORS_N_MOD,COMMAND_TIMEOUT_N_MOD,CURRENT_PENDING_SECTOR_COUNT_N_MOD,POWER_ON_HOURS_N_MOD,REAllOCATED_SECTOR_COUNT_R_MOD,REPORTED_UNCORRECTABLE_ERRORS_R_MOD,COMMAND_TIMEOUT_R_MOD,CURRENT_PENDING_SECTOR_COUNT_R_MOD,POWER_ON_HOURS_RR_MOD
ST9250315AS,100.0,94.0,100.0,100.0,60.0,0.0,6.0,15.0,1.0,35390.0
ST4000DM000,99.64435759648266,92.8514899853444,100.0,98.99853444064485,71.03028822667318,447.6199316072301,9.609672691744017,0.14948705422569614,227.06888128969223,25830.212506106498
ST12000NM0007,98.20586182833217,90.37473831123518,100.0,99.88206559665038,88.95533845080251,4620.3251919050945,303.559665038381,1639489370.7529657,142.13538032100487,10105.118632240055
ST8000DM005,100.0,98.66666666666667,100.0,100.0,97.33333333333333,90.66666666666667,1.3333333333333333,0.0,13.333333333333334,2692.6666666666665
ST3500320AS,100.0,100.0,100.0,100.0,51.0,6.0,0.0,11.0,0.0,43219.0
TOSHIBA MQ01ABF050M,100.0,,,100.0,69.55555555555556,0.0,,,10.37037037037037,12365.814814814816
WDC WD5002ABYS,200.0,,,200.0,41.0,0.0,,,0.0,43154.0
ST8000NM0055,99.07673860911271,92.79136690647482,100.0,99.97362110311751,87.5947242206235,2981.3213429256593,7.748201438848921,473798564.19184655,26.973621103117505,11306.764988009592
Hitachi HDS5C3030ALA630,75.71428571428571,,,100.0,94.28571428571429,497.57142857142856,,,0.5,44221.142857142855
WDC WD60EFRX,200.0,,,200.0,63.523809523809526,0.0,,,1.0,26921.14285714286
TOSHIBA MG07ACA14TA,100.0,,,100.0,92.0909090909091,2.272727272727273,,,3.090909090909091,3322.409090909091
ST8000DM002,99.55732484076434,91.34394904458598,100.0,99.70382165605096,81.5859872611465,2063.3471337579617,9.031847133757962,738638307.0095541,157.60509554140128,16550.82484076433
ST4000DM005,99.4,80.2,100.0,99.0,99.8,91.8,61.4,0.0,86.4,649.8
Hitachi HDS722020ALA330,100.0,,,100.0,93.2,0.0,,,0.0,51434.0
HGST HUS726040ALE610,100.0,,,100.0,100.0,0.0,,,0.0,1472.3333333333333
TOSHIBA HDWF180,100.0,,,100.0,73.0,0.0,,,0.0,11191.0
HGST HMS5C4040ALE640,97.62903225806451,,,99.61290322580645,97.51612903225806,65.03225806451613,,,19.225806451612904,20591.74193548387
ST4000DX002,100.0,100.0,100.0,100.0,92.25,0.0,0.0,0.0,0.0,7313.5
TOSHIBA MD04ABA400V,17.0,,,100.0,64.0,16112.0,,,0.0,14694.0
ST10000NM0086,97.94444444444444,94.66666666666667,100.0,100.0,85.38888888888889,5220.611111111111,5.333333333333333,7281.888888888889,2.6666666666666665,13306.5
TOSHIBA MQ01ABF050,99.34,,,100.0,65.73333333333333,176.90666666666667,,,49.49333333333333,13903.893333333333
ST4000DM001,100.0,99.1590909090909,100.0,100.0,97.68181818181819,4.7272727272727275,0.8409090909090909,0.13636363636363635,0.5454545454545454,2500.159090909091
Seagate BarraCuda SSD ZA500CM10002,,,,,100.0,,,,,6226.0
HGST HMS5C4040BLE640,97.88235294117646,,,99.78280542986425,98.44796380090497,53.84615384615385,,,13.755656108597286,14065.095022624435
WDC WD40EFRX,200.0,,,200.0,57.0,0.0,,,1.0,31718.0
Samsung SSD 850 EVO 1TB,100.0,100.0,,,99.0,0.0,0.0,,,593.9
ST6000DX000,99.61224489795919,99.36734693877551,100.0,100.0,71.06122448979592,1083.7551020408164,0.6326530612244898,2016035819.5714285,22.367346938775512,25828.285714285714
WDC WD5000LPVX,200.0,,,200.0,60.51724137931034,0.0,,,0.3793103448275862,29223.137931034482
ST250LM004 HN,252.0,,,176.0,100.0,0.0,,,1.0,35517.5
WDC WD5000BPKT,200.0,,,200.0,42.5,0.0,,,0.0,42332.0
ST500LM030,98.76,98.76,100.0,100.0,96.32,253.04,1.24,27144612747.52,3.2,3616.28
ST4000DX000,99.5,99.28571428571429,100.0,98.76190476190476,60.166666666666664,82.28571428571429,0.7142857142857143,102262694.57142857,214.83333333333334,35294.97619047619
WDC WD1600AAJS,200.0,,,200.0,44.0,0.0,,,0.0,41255.0
ST500LM012 HN,252.0,,,183.95238095238096,100.0,0.0,,,2.1142857142857143,24451.64761904762
WDC WD10EACS,200.0,,,200.0,20.0,0.0,,,0.0,58993.0
Hitachi HDS723030ALA640,100.0,,,100.0,94.0,0.0,,,0.75,43536.25
ST12000NM0008,100.0,97.14285714285714,100.0,100.0,99.71428571428571,0.0,2.857142857142857,0.0,4.571428571428571,723.1428571428571
HGST HUH728080ALE600,100.0,,,100.0,98.72222222222223,0.3333333333333333,,,13.333333333333334,11961.388888888889
HGST HDS5C4040ALE630,100.0,,,100.0,100.0,0.0,,,0.0,1966.0
Hitachi HDS5C4040ALE630,98.71428571428571,,,100.0,95.14285714285714,104.85714285714286,,,0.0,38895.28571428572
HGST HUH721212ALE600,100.0,,,100.0,100.0,0.0,,,40.0,2355.0
WDC WD30EFRX,200.0,,,200.0,59.666666666666664,0.0,,,1.6666666666666667,29777.777777777777
ST3160318AS,100.0,100.0,100.0,100.0,41.0,31.0,0.0,49.0,0.0,51978.0
WDC WD5000LPCX,200.0,,,200.0,70.0,0.0,,,0.0,22260.0
ST8000DM004,100.0,100.0,100.0,100.0,97.75,0.0,0.0,7516307457.75,26.0,2176.25
ST12000NM0117,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,47.333333333333336
HGST HUH721212ALN604,100.0,,,100.0,99.97297297297297,0.10810810810810811,,,43.891891891891895,2757.945945945946
